"Date","Temperature"
"1981-07-19",18.2
"1981-07-20",15.7
"1981-07-21",17.7
"1981-07-22",15.9
"1981-07-23",15.1
"1981-07-24",15.2
"1981-07-25",14.7
"1981-07-26",13.3
"1981-07-27",14.5
"1981-07-28",11.1
"1981-07-29",13.1
"1981-07-30",13.7
"1981-07-31",14.6
"1981-08-01",12.9
"1981-08-02",12.8
"1981-08-03",15.2
"1981-08-04",14.5
"1981-08-05",17.2
"1981-08-06",14.5
"1981-08-07",14.4
"1981-08-08",11.0
"1981-08-09",13.1
"1981-08-10",13.6
"1981-08-11",14.6
"1981-08-12",12.7
"1981-08-13",13.6
"1981-08-14",12.7
"1981-08-15",15.5
"1981-08-16",17.4
"1981-08-17",15.2
"1981-08-18",14.2
"1981-08-19",17.7
"1981-08-20",19.2
"1981-08-21",12.5
"1981-08-22",14.2
"1981-08-23",15.3
"1981-08-24",15.7
"1981-08-25",17.0
"1981-08-26",19.0
"1981-08-27",13.1
"1981-08-28",13.2
"1981-08-29",13.2
"1981-08-30",15.7
"1981-08-31",14.1
"1981-09-01",15.6
"1981-09-02",15.5
"1981-09-03",15.9
"1981-09-04",15.1
"1981-09-05",16.0
"1981-09-06",19.4
"1981-09-07",21.5
"1981-09-08",23.7
"1981-09-09",18.7
"1981-09-10",23.8
"1981-09-11",18.0
"1981-09-12",16.2
"1981-09-13",18.5
"1981-09-14",20.6
"1981-09-15",18.3
"1981-09-16",22.5
"1981-09-17",26.9
"1981-09-18",19.4
"1981-09-19",15.9
"1981-09-20",20.5
"1981-09-21",21.2
"1981-09-22",19.5
"1981-09-23",14.7
"1981-09-24",17.6
"1981-09-25",15.8
"1981-09-26",17.7
"1981-09-27",14.3
"1981-09-28",16.8
"1981-09-29",18.6
"1981-09-30",21.9
"1981-10-01",21.4
"1981-10-02",20.8
"1981-10-03",14.0
"1981-10-04",17.0
"1981-10-05",23.0
"1981-10-06",26.4
"1981-10-07",19.6
"1981-10-08",22.7
"1981-10-09",26.9
"1981-10-10",14.7
"1981-10-11",15.2
"1981-10-12",19.8
"1981-10-13",26.9
"1981-10-14",20.2
"1981-10-15",14.3
"1981-10-16",14.8
"1981-10-17",18.5
"1981-10-18",21.7
"1981-10-19",21.4
"1981-10-20",21.8
"1981-10-21",18.2
"1981-10-22",15.8
"1981-10-23",15.3
"1981-10-24",18.5
"1981-10-25",19.2
"1981-10-26",28.5
"1981-10-27",32.2
"1981-10-28",21.8
"1981-10-29",22.1
"1981-10-30",20.7
"1981-10-31",17.0
"1981-11-01",24.7
"1981-11-02",26.2
"1981-11-03",29.0
"1981-11-04",21.6
"1981-11-05",17.1
"1981-11-06",16.9
"1981-11-07",19.1
"1981-11-08",24.7
"1981-11-09",25.4
"1981-11-10",19.8
"1981-11-11",18.2
"1981-11-12",16.3
"1981-11-13",17.0
"1981-11-14",17.7
"1981-11-15",15.5
"1981-11-16",14.7
"1981-11-17",15.8
"1981-11-18",19.9
"1981-11-19",20.4
"1981-11-20",23.3
"1981-11-21",20.2
"1981-11-22",28.8
"1981-11-23",31.2
"1981-11-24",17.4
"1981-11-25",18.5
"1981-11-26",26.8
"1981-11-27",34.3
"1981-11-28",30.1
"1981-11-29",20.5
"1981-11-30",20.5
"1981-12-01",19.8
"1981-12-02",27.0
"1981-12-03",21.0
"1981-12-04",33.0
"1981-12-05",22.6
"1981-12-06",28.3
"1981-12-07",21.1
"1981-12-08",19.0
"1981-12-09",17.3
"1981-12-10",27.0
"1981-12-11",30.2
"1981-12-12",24.8
"1981-12-13",17.9
"1981-12-14",17.9
"1981-12-15",20.7
"1981-12-16",30.9
"1981-12-17",36.2
"1981-12-18",21.0
"1981-12-19",20.2
"1981-12-20",21.3
"1981-12-21",24.2
"1981-12-22",21.0
"1981-12-23",20.7
"1981-12-24",17.8
"1981-12-25",19.6
"1981-12-26",22.6
"1981-12-27",20.5
"1981-12-28",24.1
"1981-12-29",22.2
"1981-12-30",27.0
"1981-12-31",33.6
"1982-01-01",26.6
"1982-01-02",20.6
"1982-01-03",24.5
"1982-01-04",19.8
"1982-01-05",22.6
"1982-01-06",29.2
"1982-01-07",20.3
"1982-01-08",23.0
"1982-01-09",24.4
"1982-01-10",38.0
"1982-01-11",40.5
"1982-01-12",24.2
"1982-01-13",20.2
"1982-01-14",21.8
"1982-01-15",27.0
"1982-01-16",35.2
"1982-01-17",25.2
"1982-01-18",32.7
"1982-01-19",35.9
"1982-01-20",38.9
"1982-01-21",26.5
"1982-01-22",21.8
"1982-01-23",37.9
"1982-01-24",43.3
"1982-01-25",19.0
"1982-01-26",19.7
"1982-01-27",21.4
"1982-01-28",32.0
"1982-01-29",33.3
"1982-01-30",22.2
"1982-01-31",21.3
"1982-02-01",20.8
"1982-02-02",22.3
"1982-02-03",22.5
"1982-02-04",21.4
"1982-02-05",23.0
"1982-02-06",35.1
"1982-02-07",40.3
"1982-02-08",39.0
"1982-02-09",21.1
"1982-02-10",25.4
"1982-02-11",23.6
"1982-02-12",28.1
"1982-02-13",37.0
"1982-02-14",39.3
"1982-02-15",39.4
"1982-02-16",25.8
"1982-02-17",27.7
"1982-02-18",23.0
"1982-02-19",24.0
"1982-02-20",26.1
"1982-02-21",21.8
"1982-02-22",24.2
"1982-02-23",22.3
"1982-02-24",19.7
"1982-02-25",20.8
"1982-02-26",17.9
"1982-02-27",20.1
"1982-02-28",20.9
"1982-03-01",21.2
"1982-03-02",20.4
"1982-03-03",29.0
"1982-03-04",34.7
"1982-03-05",34.0
"1982-03-06",30.9
"1982-03-07",29.6
"1982-03-08",26.1
"1982-03-09",18.5
"1982-03-10",21.2
"1982-03-11",22.4
"1982-03-12",21.4
"1982-03-13",30.5
"1982-03-14",32.0
"1982-03-15",32.7
"1982-03-16",27.4
"1982-03-17",18.9
"1982-03-18",19.4
"1982-03-19",22.2
"1982-03-20",30.2
"1982-03-21",31.8
"1982-03-22",31.4
"1982-03-23",18.5
"1982-03-24",22.2
"1982-03-25",27.5
"1982-03-26",25.8
"1982-03-27",25.2
"1982-03-28",19.1
"1982-03-29",19.6
"1982-03-30",21.4
"1982-03-31",20.7
"1982-04-01",28.3
"1982-04-02",23.0
"1982-04-03",16.5
"1982-04-04",18.8
"1982-04-05",20.0
"1982-04-06",20.6
"1982-04-07",19.8
"1982-04-08",20.3
"1982-04-09",26.6
"1982-04-10",21.5
"1982-04-11",22.3
"1982-04-12",26.5
"1982-04-13",27.1
"1982-04-14",30.0
"1982-04-15",28.2
"1982-04-16",17.3
"1982-04-17",16.8
"1982-04-18",17.5
"1982-04-19",19.2
"1982-04-20",20.3
"1982-04-21",20.6
"1982-04-22",23.7
"1982-04-23",24.3
"1982-04-24",26.4
"1982-04-25",16.0
"1982-04-26",14.5
"1982-04-27",14.2
"1982-04-28",16.5
"1982-04-29",15.7
"1982-04-30",16.0
"1982-05-01",16.7
"1982-05-02",19.8
"1982-05-03",22.5
"1982-05-04",22.9
"1982-05-05",18.8
"1982-05-06",15.7
"1982-05-07",14.7
"1982-05-08",15.3
"1982-05-09",15.3
"1982-05-10",18.0
"1982-05-11",15.1
"1982-05-12",15.1
"1982-05-13",13.6
"1982-05-14",15.3
"1982-05-15",18.0
"1982-05-16",18.6
"1982-05-17",22.0
"1982-05-18",22.1
"1982-05-19",17.8
"1982-05-20",15.2
"1982-05-21",11.3
"1982-05-22",13.5
"1982-05-23",16.1
"1982-05-24",16.0
"1982-05-25",16.5
"1982-05-26",16.7
"1982-05-27",19.6
"1982-05-28",19.5
"1982-05-29",18.0
"1982-05-30",18.4
"1982-05-31",12.9
"1982-06-01",14.9
"1982-06-02",12.4
"1982-06-03",11.9
"1982-06-04",11.7
"1982-06-05",12.9
"1982-06-06",12.9
"1982-06-07",12.4
"1982-06-08",12.5
"1982-06-09",15.7
"1982-06-10",15.9
"1982-06-11",14.3
"1982-06-12",16.9
"1982-06-13",14.0
"1982-06-14",13.6
"1982-06-15",13.7
"1982-06-16",16.0
"1982-06-17",13.1
"1982-06-18",13.8
"1982-06-19",13.4
"1982-06-20",11.3
"1982-06-21",10.6
"1982-06-22",13.9
"1982-06-23",12.7
"1982-06-24",12.5
"1982-06-25",11.3
"1982-06-26",11.6
"1982-06-27",14.0
"1982-06-28",13.7
"1982-06-29",15.2
"1982-06-30",14.0
"1982-07-01",11.4
"1982-07-02",14.2
"1982-07-03",15.2
"1982-07-04",12.6
"1982-07-05",10.2
"1982-07-06",13.9
"1982-07-07",13.7
"1982-07-08",13.6
"1982-07-09",13.2
"1982-07-10",15.4
"1982-07-11",12.9
"1982-07-12",11.9
"1982-07-13",13.3
"1982-07-14",13.3
"1982-07-15",10.5
"1982-07-16",10.0
"1982-07-17",11.0
"1982-07-18",8.3
"1982-07-19",10.7
"1982-07-20",11.2
"1982-07-21",11.7
"1982-07-22",14.2
"1982-07-23",14.5
"1982-07-24",16.0
"1982-07-25",16.7
"1982-07-26",14.4
"1982-07-27",17.0
"1982-07-28",14.6
"1982-07-29",11.6
"1982-07-30",12.8
"1982-07-31",14.0
"1982-08-01",17.1
"1982-08-02",15.4
"1982-08-03",15.5
"1982-08-04",15.1
"1982-08-05",16.9
"1982-08-06",14.2
"1982-08-07",15.9
"1982-08-08",18.2
"1982-08-09",19.5
"1982-08-10",19.5
"1982-08-11",19.8
"1982-08-12",15.6
"1982-08-13",14.1
"1982-08-14",17.0
"1982-08-15",14.3
"1982-08-16",13.1
"1982-08-17",13.7
"1982-08-18",18.2
"1982-08-19",19.8
"1982-08-20",22.3
"1982-08-21",17.8
"1982-08-22",15.0
"1982-08-23",22.6
"1982-08-24",23.7
"1982-08-25",15.8
"1982-08-26",15.0
"1982-08-27",23.5
"1982-08-28",25.7
"1982-08-29",26.5
"1982-08-30",15.1
"1982-08-31",13.9
"1982-09-01",20.5
"1982-09-02",21.4
"1982-09-03",14.9
"1982-09-04",15.0
"1982-09-05",18.9
"1982-09-06",11.7
"1982-09-07",15.5
"1982-09-08",17.7
"1982-09-09",11.0
"1982-09-10",14.9
"1982-09-11",13.1
"1982-09-12",13.7
"1982-09-13",15.4
"1982-09-14",15.6
"1982-09-15",23.9
"1982-09-16",23.7
"1982-09-17",24.3
"1982-09-18",15.9
"1982-09-19",13.5
"1982-09-20",15.3
"1982-09-21",19.3
"1982-09-22",20.5
"1982-09-23",22.5
"1982-09-24",23.2
"1982-09-25",16.3
"1982-09-26",14.8
"1982-09-27",13.7
"1982-09-28",18.4
"1982-09-29",12.3
"1982-09-30",13.3
"1982-10-01",16.2
"1982-10-02",25.6
"1982-10-03",24.1
"1982-10-04",13.8
"1982-10-05",15.9
"1982-10-06",21.2
"1982-10-07",21.7
"1982-10-08",15.6
"1982-10-09",13.5
"1982-10-10",15.0
"1982-10-11",21.2
"1982-10-12",25.4
"1982-10-13",19.0
"1982-10-14",15.0
"1982-10-15",16.4
"1982-10-16",15.6
"1982-10-17",13.7
"1982-10-18",22.0
"1982-10-19",17.4
"1982-10-20",15.1
"1982-10-21",14.6
"1982-10-22",16.9
"1982-10-23",15.9
"1982-10-24",21.3
"1982-10-25",29.7
"1982-10-26",33.0
"1982-10-27",22.7
"1982-10-28",21.6
"1982-10-29",30.3
"1982-10-30",19.0
"1982-10-31",14.6
"1982-11-01",15.9
"1982-11-02",20.4
"1982-11-03",29.3
"1982-11-04",33.7
"1982-11-05",35.2
"1982-11-06",38.1
"1982-11-07",24.5
"1982-11-08",26.3
"1982-11-09",25.0
"1982-11-10",17.9
"1982-11-11",18.1
"1982-11-12",23.3
"1982-11-13",31.2
"1982-11-14",32.8
"1982-11-15",28.0
"1982-11-16",19.7
"1982-11-17",22.1
"1982-11-18",16.3
"1982-11-19",20.1
"1982-11-20",21.7
"1982-11-21",19.6
"1982-11-22",30.8
"1982-11-23",36.8
"1982-11-24",38.1
"1982-11-25",17.6
"1982-11-26",21.2
"1982-11-27",17.2
"1982-11-28",20.7
"1982-11-29",26.1
"1982-11-30",34.5
"1982-12-01",18.6
"1982-12-02",20.1
"1982-12-03",22.4
"1982-12-04",19.1
"1982-12-05",19.2
"1982-12-06",28.0
"1982-12-07",17.9
"1982-12-08",18.1
"1982-12-09",16.0
"1982-12-10",18.5
"1982-12-11",20.6
"1982-12-12",33.0
"1982-12-13",35.2
"1982-12-14",24.0
"1982-12-15",26.0
"1982-12-16",28.0
"1982-12-17",23.0
"1982-12-18",19.0
"1982-12-19",19.1
"1982-12-20",18.0
"1982-12-21",19.4
"1982-12-22",32.5
"1982-12-23",32.6
"1982-12-24",18.1
"1982-12-25",19.7
"1982-12-26",28.0
"1982-12-27",28.0
"1982-12-28",23.8
"1982-12-29",31.4
"1982-12-30",22.0
"1982-12-31",35.8
"1983-01-01",23.0
"1983-01-02",18.9
"1983-01-03",25.4
"1983-01-04",28.0
"1983-01-05",19.2
"1983-01-06",21.5
"1983-01-07",28.8
"1983-01-08",37.3
"1983-01-09",24.6
"1983-01-10",21.3
"1983-01-11",17.9
"1983-01-12",17.5
"1983-01-13",18.7
"1983-01-14",18.1
"1983-01-15",19.7
"1983-01-16",22.1
"1983-01-17",19.6
"1983-01-18",18.0
"1983-01-19",19.9
"1983-01-20",28.5
"1983-01-21",23.0
"1983-01-22",37.0
"1983-01-23",19.0
"1983-01-24",19.4
"1983-01-25",35.0
"1983-01-26",27.7
"1983-01-27",23.9
"1983-01-28",25.6
"1983-01-29",27.7
"1983-01-30",24.3
"1983-01-31",38.6
"1983-02-01",41.2
"1983-02-02",22.0
"1983-02-03",22.5
"1983-02-04",22.3
"1983-02-05",25.5
"1983-02-06",36.6
"1983-02-07",35.7
"1983-02-08",43.2
"1983-02-09",28.0
"1983-02-10",25.5
"1983-02-11",21.6
"1983-02-12",21.8
"1983-02-13",23.3
"1983-02-14",34.3
"1983-02-15",31.2
"1983-02-16",43.0
"1983-02-17",20.2
"1983-02-18",20.3
"1983-02-19",22.2
"1983-02-20",24.0
"1983-02-21",34.4
"1983-02-22",32.9
"1983-02-23",21.6
"1983-02-24",26.5
"1983-02-25",33.2
"1983-02-26",38.6
"1983-02-27",24.4
"1983-02-28",28.3
"1983-03-01",35.2
"1983-03-02",28.7
"1983-03-03",35.6
"1983-03-04",37.2
"1983-03-05",25.5
"1983-03-06",31.5
"1983-03-07",30.2
"1983-03-08",29.0
"1983-03-09",21.4
"1983-03-10",28.5
"1983-03-11",32.1
"1983-03-12",23.5
"1983-03-13",20.0
"1983-03-14",21.0
"1983-03-15",20.0
"1983-03-16",21.8
"1983-03-17",24.3
"1983-03-18",30.9
"1983-03-19",21.6
"1983-03-20",22.2
"1983-03-21",20.2
"1983-03-22",20.5
"1983-03-23",17.6
"1983-03-24",18.6
"1983-03-25",17.7
"1983-03-26",18.0
"1983-03-27",18.6
"1983-03-28",18.6
"1983-03-29",25.9
"1983-03-30",19.8
"1983-03-31",18.7
"1983-04-01",17.9
"1983-04-02",17.3
"1983-04-03",18.1
"1983-04-04",14.6
"1983-04-05",14.1
"1983-04-06",15.7
"1983-04-07",16.0
"1983-04-08",21.6
"1983-04-09",21.4
"1983-04-10",23.8
"1983-04-11",21.7
"1983-04-12",16.6
"1983-04-13",16.7
"1983-04-14",18.1
"1983-04-15",14.5
"1983-04-16",14.7
"1983-04-17",16.4
"1983-04-18",16.5
"1983-04-19",22.7
"1983-04-20",23.8
"1983-04-21",24.6
"1983-04-22",23.6
"1983-04-23",19.8
"1983-04-24",19.8
"1983-04-25",18.0
"1983-04-26",17.6
"1983-04-27",19.0
"1983-04-28",17.5
"1983-04-29",17.0
"1983-04-30",19.9
"1983-05-01",18.5
"1983-05-02",18.7
"1983-05-03",17.8
"1983-05-04",17.0
"1983-05-05",17.6
"1983-05-06",18.7
"1983-05-07",17.0
"1983-05-08",18.8
"1983-05-09",17.5
"1983-05-10",19.5
"1983-05-11",16.6
"1983-05-12",19.1
"1983-05-13",21.2
"1983-05-14",20.2
"1983-05-15",17.9
"1983-05-16",14.3
"1983-05-17",16.0
"1983-05-18",17.7
"1983-05-19",18.6
"1983-05-20",19.1
"1983-05-21",13.7
"1983-05-22",17.5
"1983-05-23",16.1
"1983-05-24",15.2
"1983-05-25",17.3
"1983-05-26",14.9
"1983-05-27",18.4
"1983-05-28",17.2
"1983-05-29",12.2
"1983-05-30",13.9
"1983-05-31",14.0
"1983-06-01",15.3
"1983-06-02",15.0
"1983-06-03",15.1
"1983-06-04",16.6
"1983-06-05",16.5
"1983-06-06",16.1
"1983-06-07",13.5
"1983-06-08",13.0
"1983-06-09",13.6
"1983-06-10",11.8
"1983-06-11",14.5
"1983-06-12",14.0
"1983-06-13",14.1
"1983-06-14",13.5
"1983-06-15",12.1
"1983-06-16",11.9
"1983-06-17",11.9
"1983-06-18",14.2
"1983-06-19",14.0
"1983-06-20",17.9
"1983-06-21",19.1
"1983-06-22",15.1
"1983-06-23",13.8
"1983-06-24",13.7
"1983-06-25",10.0
"1983-06-26",10.3
"1983-06-27",10.4
"1983-06-28",12.0
"1983-06-29",8.5
"1983-06-30",14.4
"1983-07-01",13.1
"1983-07-02",14.0
"1983-07-03",11.8
"1983-07-04",13.9
"1983-07-05",12.9
"1983-07-06",11.0
"1983-07-07",11.8
"1983-07-08",10.7
"1983-07-09",11.2
"1983-07-10",10.3
"1983-07-11",12.2
"1983-07-12",12.4
"1983-07-13",14.7
"1983-07-14",15.1
"1983-07-15",15.0
"1983-07-16",14.0
"1983-07-17",15.2
"1983-07-18",14.2
"1983-07-19",8.7
"1983-07-20",11.0
"1983-07-21",14.2
"1983-07-22",15.2
"1983-07-23",12.2
"1983-07-24",13.0
"1983-07-25",14.7
"1983-07-26",17.2
"1983-07-27",13.7
"1983-07-28",14.8
"1983-07-29",13.8
"1983-07-30",13.7
"1983-07-31",13.1
"1983-08-01",12.7
"1983-08-02",12.3
"1983-08-03",12.4
"1983-08-04",13.0
"1983-08-05",13.5
"1983-08-06",13.5
"1983-08-07",14.7
"1983-08-08",13.4
"1983-08-09",15.9
"1983-08-10",16.0
"1983-08-11",15.3
"1983-08-12",15.5
"1983-08-13",18.2
"1983-08-14",18.6
"1983-08-15",18.5
"1983-08-16",19.2
"1983-08-17",14.2
"1983-08-18",12.8
"1983-08-19",13.1
"1983-08-20",15.4
"1983-08-21",17.3
"1983-08-22",14.5
"1983-08-23",19.5
"1983-08-24",20.2
"1983-08-25",16.3
"1983-08-26",13.0
"1983-08-27",13.3
"1983-08-28",13.3
"1983-08-29",19.0
"1983-08-30",16.8
"1983-08-31",19.2
"1983-09-01",18.5
"1983-09-02",19.0
"1983-09-03",17.4
"1983-09-04",15.3
"1983-09-05",15.8
"1983-09-06",18.7
"1983-09-07",17.8
"1983-09-08",16.5
"1983-09-09",15.3
"1983-09-10",13.2
"1983-09-11",12.0
"1983-09-12",14.0
"1983-09-13",9.5
"1983-09-14",13.0
"1983-09-15",17.6
"1983-09-16",19.6
"1983-09-17",17.2
"1983-09-18",17.3
"1983-09-19",17.0
"1983-09-20",16.3
"1983-09-21",17.3
"1983-09-22",20.3
"1983-09-23",16.9
"1983-09-24",13.5
"1983-09-25",13.3
"1983-09-26",20.7
"1983-09-27",19.8
"1983-09-28",20.8
"1983-09-29",19.8
"1983-09-30",19.5
"1983-10-01",23.4
"1983-10-02",14.2
"1983-10-03",14.2
"1983-10-04",16.6
"1983-10-05",17.0
"1983-10-06",15.6
"1983-10-07",14.8
"1983-10-08",17.2
"1983-10-09",20.2
"1983-10-10",16.7
"1983-10-11",18.2
"1983-10-12",18.1
"1983-10-13",22.5
"1983-10-14",23.4
"1983-10-15",15.3
"1983-10-16",13.7
"1983-10-17",15.6
"1983-10-18",18.9
"1983-10-19",15.1
"1983-10-20",16.6
"1983-10-21",17.7
"1983-10-22",23.0
"1983-10-23",16.8
"1983-10-24",21.3
"1983-10-25",17.9
"1983-10-26",23.6
"1983-10-27",25.3
"1983-10-28",14.5
"1983-10-29",16.9
"1983-10-30",16.3
"1983-10-31",17.7
"1983-11-01",18.0
"1983-11-02",21.7
"1983-11-03",22.3
"1983-11-04",15.5
"1983-11-05",16.7
"1983-11-06",24.3
"1983-11-07",23.5
"1983-11-08",27.7
"1983-11-09",18.0
"1983-11-10",15.6
"1983-11-11",19.0
"1983-11-12",19.5
"1983-11-13",20.1
"1983-11-14",31.3
"1983-11-15",15.6
"1983-11-16",12.8
"1983-11-17",13.8
"1983-11-18",15.8
"1983-11-19",16.4
"1983-11-20",17.6
"1983-11-21",28.2
"1983-11-22",25.5
"1983-11-23",22.7
"1983-11-24",28.0
"1983-11-25",17.0
"1983-11-26",22.6
"1983-11-27",24.5
"1983-11-28",25.6
"1983-11-29",27.5
"1983-11-30",18.5
"1983-12-01",18.2
"1983-12-02",18.8
"1983-12-03",17.8
"1983-12-04",18.9
"1983-12-05",24.0
"1983-12-06",20.9
"1983-12-07",16.8
"1983-12-08",18.5
"1983-12-09",20.6
"1983-12-10",24.9
"1983-12-11",28.1
"1983-12-12",25.7
"1983-12-13",19.2
"1983-12-14",32.7
"1983-12-15",21.3
"1983-12-16",20.4
"1983-12-17",20.5
"1983-12-18",22.8
"1983-12-19",35.3
"1983-12-20",38.7
"1983-12-21",21.4
"1983-12-22",23.3
"1983-12-23",22.0
"1983-12-24",31.7
"1983-12-25",23.4
"1983-12-26",19.1
"1983-12-27",19.5
"1983-12-28",30.0
"1983-12-29",32.4
"1983-12-30",33.6
"1983-12-31",30.0
"1984-01-01",27.7
"1984-01-02",28.1
"1984-01-03",23.7
"1984-01-04",20.6
"1984-01-05",32.3
"1984-01-06",31.2
"1984-01-07",21.5
"1984-01-08",23.0
"1984-01-09",21.9
"1984-01-10",23.0
"1984-01-11",21.6
"1984-01-12",27.2
"1984-01-13",29.2
"1984-01-14",32.0
"1984-01-15",22.5
"1984-01-16",23.9
"1984-01-17",19.7
"1984-01-18",19.5
"1984-01-19",22.0
"1984-01-20",22.1
"1984-01-21",19.7
"1984-01-22",19.4
"1984-01-23",30.5
"1984-01-24",28.5
"1984-01-25",20.2
"1984-01-26",19.0
"1984-01-27",20.2
"1984-01-28",22.6
"1984-01-29",28.4
"1984-01-30",18.6
"1984-01-31",20.3
"1984-02-01",19.0
"1984-02-02",26.2
"1984-02-03",30.0
"1984-02-04",24.2
"1984-02-05",23.4
"1984-02-06",34.7
"1984-02-07",20.4
"1984-02-08",20.7
"1984-02-09",20.0
"1984-02-10",19.5
"1984-02-11",31.6
"1984-02-12",33.7
"1984-02-13",23.5
"1984-02-14",24.6
"1984-02-15",33.9
"1984-02-16",22.4
"1984-02-17",24.3
"1984-02-18",29.5
"1984-02-19",31.7
"1984-02-20",32.9
"1984-02-21",20.5
"1984-02-22",28.5
"1984-02-23",27.3
"1984-02-24",19.5
"1984-02-25",21.4
"1984-02-26",33.2
"1984-02-27",35.0
"1984-02-28",18.1
"1984-02-29",17.2
"1984-03-01",18.1
"1984-03-02",19.5
"1984-03-03",21.5
"1984-03-04",29.2
"1984-03-05",33.8
"1984-03-06",20.8
"1984-03-07",17.5
"1984-03-08",21.0
"1984-03-09",27.4
"1984-03-10",21.2
